arm,node,role,attack_start_s,t_s,trust
baseline,srv2,none,0,59.610,0.828900
baseline,srv2,none,0,61.132,0.830700
baseline,srv2,none,0,62.498,0.832400
baseline,srv2,none,0,64.046,0.824000
baseline,srv2,none,0,65.558,0.829000
baseline,srv2,none,0,67.127,0.820200
baseline,srv2,none,0,68.560,0.821400
baseline,srv2,none,0,70.204,0.828000
baseline,srv2,none,0,71.929,0.827500
baseline,srv2,none,0,73.319,0.820300
baseline,srv2,none,0,74.703,0.827900
baseline,srv2,none,0,76.509,0.827700
baseline,srv2,none,0,77.958,0.828200
baseline,srv2,none,0,79.578,0.817500
baseline,srv2,none,0,81.149,0.821500
baseline,srv2,none,0,82.716,0.826800
baseline,srv2,none,0,84.629,0.827700
baseline,srv2,none,0,86.353,0.829000
baseline,srv2,none,0,87.724,0.820500
baseline,srv2,none,0,89.089,0.828100
baseline,srv2,none,0,90.542,0.828100
baseline,srv2,none,0,92.003,0.821500
baseline,srv2,none,0,93.303,0.826400
baseline,srv2,none,0,94.716,0.826800
baseline,srv2,none,0,96.051,0.822200
baseline,srv2,none,0,97.500,0.826400
baseline,srv2,none,0,99.053,0.826600
baseline,srv2,none,0,100.369,0.821300
baseline,srv2,none,0,101.769,0.832800
baseline,srv2,none,0,103.234,0.827700
baseline,srv2,none,0,104.730,0.829100
baseline,srv2,none,0,106.334,0.833300
baseline,srv2,none,0,108.058,0.833300
baseline,srv2,none,0,109.442,0.826400
baseline,srv2,none,0,110.905,0.817000
baseline,srv2,none,0,112.333,0.831900
baseline,srv2,none,0,113.783,0.820100
baseline,srv2,none,0,115.094,0.822100
baseline,srv2,none,0,116.781,0.831900
baseline,srv2,none,0,118.402,0.829700
baseline,srv2,none,0,119.994,0.818800
baseline,srv2,none,0,121.440,0.821400
baseline,srv2,none,0,123.195,0.830400
baseline,srv2,none,0,124.687,0.831400
baseline,srv2,none,0,126.045,0.818700
baseline,srv2,none,0,127.442,0.830800
baseline,srv2,none,0,128.820,0.832100
baseline,srv2,none,0,130.103,0.827200
baseline,srv2,none,0,131.448,0.832400
baseline,srv2,none,0,132.740,0.831100
baseline,srv2,none,0,134.224,0.827300
baseline,srv2,none,0,136.060,0.829800
baseline,srv2,none,0,137.566,0.819700
baseline,srv2,none,0,139.423,0.818300
baseline,srv2,none,0,140.733,0.820500
baseline,srv2,none,0,142.213,0.826700
baseline,srv2,none,0,143.701,0.820000
baseline,srv2,none,0,145.287,0.820900
baseline,srv2,none,0,146.812,0.828700
baseline,srv2,none,0,148.297,0.829100
baseline,srv2,none,0,149.588,0.820000
baseline,srv2,none,0,150.910,0.828400
baseline,srv2,none,0,152.312,0.820800
baseline,srv2,none,0,153.939,0.819400
baseline,srv2,none,0,155.575,0.810900
baseline,srv2,none,0,157.034,0.827800
baseline,srv2,none,0,158.626,0.828700
baseline,srv2,none,0,159.952,0.820800
baseline,srv2,none,0,161.410,0.805100
baseline,srv2,none,0,162.889,0.827800
baseline,srv2,none,0,164.458,0.814200
baseline,srv2,none,0,166.229,0.822400
baseline,srv2,none,0,167.645,0.833600
baseline,srv2,none,0,169.353,0.829200
baseline,srv2,none,0,170.680,0.821900
baseline,srv2,none,0,172.413,0.802700
baseline,srv2,none,0,174.061,0.833800
baseline,srv2,none,0,175.488,0.828300
baseline,srv2,none,0,177.161,0.818400
baseline,srv2,none,0,179.049,0.821100
baseline,srv2,none,0,180.586,0.829700
baseline,srv2,none,0,182.076,0.833400
baseline,srv2,none,0,183.528,0.819300
baseline,srv2,none,0,184.960,0.826800
baseline,srv2,none,0,186.685,0.827700
baseline,srv2,none,0,188.247,0.819800
baseline,srv2,none,0,189.838,0.827900
baseline,srv2,none,0,191.177,0.828700
baseline,srv2,none,0,192.558,0.832300
baseline,srv2,none,0,193.850,0.829500
baseline,srv2,none,0,195.144,0.828700
baseline,srv2,none,0,196.796,0.829400
baseline,srv2,none,0,198.591,0.831100
baseline,srv2,none,0,200.264,0.829100
baseline,srv2,none,0,201.848,0.827700
baseline,srv2,none,0,203.381,0.828800
baseline,srv2,none,0,204.923,0.813300
baseline,srv2,none,0,206.193,0.821200
baseline,srv2,none,0,207.706,0.827100
baseline,srv2,none,0,209.052,0.820900
baseline,srv2,none,0,210.582,0.828400
baseline,srv2,none,0,211.996,0.827100
baseline,srv2,none,0,213.411,0.821000
baseline,srv2,none,0,215.367,0.833900
baseline,srv2,none,0,216.997,0.817800
baseline,srv2,none,0,218.485,0.826800
baseline,srv2,none,0,220.087,0.827000
baseline,srv2,none,0,221.456,0.831900
baseline,srv2,none,0,223.008,0.827100
baseline,srv2,none,0,224.678,0.818500
baseline,srv2,none,0,226.143,0.820300
baseline,srv2,none,0,227.568,0.831100
baseline,srv2,none,0,228.864,0.817800
baseline,srv2,none,0,230.168,0.829000
baseline,srv2,none,0,231.937,0.819700
baseline,srv2,none,0,233.413,0.793100
baseline,srv2,none,0,234.789,0.819700
baseline,srv2,none,0,236.174,0.822300
baseline,srv2,none,0,237.663,0.825500
baseline,srv2,none,0,239.003,0.819800
baseline,srv2,none,0,240.610,0.826600
baseline,srv2,none,0,242.066,0.833900
baseline,srv2,none,0,243.822,0.829300
baseline,srv2,none,0,245.221,0.820100
baseline,srv2,none,0,246.706,0.778300
baseline,srv2,none,0,248.074,0.833700
baseline,srv2,none,0,249.798,0.819600
baseline,srv2,none,0,251.100,0.827300
baseline,srv2,none,0,252.451,0.834000
baseline,srv2,none,0,254.015,0.819500
baseline,srv2,none,0,255.431,0.827500
baseline,srv2,none,0,257.072,0.822400
baseline,srv2,none,0,258.736,0.830500
baseline,srv2,none,0,260.162,0.818900
baseline,srv2,none,0,261.724,0.826700
baseline,srv2,none,0,263.030,0.828700
baseline,srv2,none,0,264.632,0.829400
baseline,srv2,none,0,265.998,0.825800
baseline,srv2,none,0,267.440,0.830800
baseline,srv2,none,0,268.827,0.830800
baseline,srv2,none,0,270.190,0.819900
baseline,srv2,none,0,271.684,0.830000
baseline,srv2,none,0,273.012,0.825900
baseline,srv2,none,0,274.412,0.821700
baseline,srv2,none,0,275.822,0.828800
baseline,srv2,none,0,277.484,0.818700
baseline,srv2,none,0,278.982,0.819900
baseline,srv2,none,0,280.374,0.818800
baseline,srv2,none,0,282.125,0.820100
baseline,srv2,none,0,283.728,0.812700
baseline,srv2,none,0,285.222,0.829400
baseline,srv2,none,0,286.562,0.827100
baseline,srv2,none,0,288.044,0.813600
baseline,srv2,none,0,289.469,0.832600
baseline,srv2,none,0,290.939,0.821400
baseline,srv2,none,0,292.236,0.819500
baseline,srv2,none,0,293.635,0.831600
baseline,srv2,none,0,294.937,0.827400
baseline,srv2,none,0,296.284,0.820100
baseline,srv2,none,0,298.210,0.831100
baseline,srv2,none,0,299.644,0.828200
baseline,srv2,none,0,301.123,0.825400
baseline,srv2,none,0,302.585,0.829700
baseline,srv2,none,0,304.282,0.830300
baseline,srv2,none,0,305.711,0.825900
baseline,srv3,sybil,20,0.042,0.500000
baseline,srv3,sybil,20,1.077,0.500000
baseline,srv3,sybil,20,2.113,0.500000
baseline,srv3,sybil,20,3.146,0.500000
baseline,srv3,sybil,20,5.064,0.553600
baseline,srv3,sybil,20,6.304,0.553600
baseline,srv3,sybil,20,7.542,0.810500
baseline,srv3,sybil,20,8.781,0.810500
baseline,srv3,sybil,20,10.020,0.814800
baseline,srv3,sybil,20,11.285,0.820500
baseline,srv3,sybil,20,12.525,0.817000
baseline,srv3,sybil,20,13.765,0.817400
baseline,srv3,sybil,20,15.047,0.817400
baseline,srv3,sybil,20,16.309,0.815200
baseline,srv3,sybil,20,17.546,0.821500
baseline,srv3,sybil,20,18.786,0.814800
baseline,srv3,sybil,20,20.024,0.817700
baseline,srv3,sybil,20,21.298,0.817700
baseline,srv3,sybil,20,22.537,0.814200
baseline,srv3,sybil,20,23.798,0.822400
baseline,srv3,sybil,20,25.187,0.712400
baseline,srv3,sybil,20,26.458,0.774700
baseline,srv3,sybil,20,27.825,0.708900
baseline,srv3,sybil,20,29.148,0.724800
baseline,srv3,sybil,20,30.477,0.668100
baseline,srv3,sybil,20,31.778,0.598200
baseline,srv3,sybil,20,33.258,0.597900
baseline,srv3,sybil,20,34.553,0.605000
baseline,srv3,sybil,20,35.959,0.672400
baseline,srv3,sybil,20,37.408,0.499700
baseline,srv3,sybil,20,38.745,0.509600
baseline,srv3,sybil,20,40.130,0.558600
baseline,srv3,sybil,20,41.633,0.556400
baseline,srv3,sybil,20,42.925,0.548100
baseline,srv3,sybil,20,44.391,0.425800
baseline,srv3,sybil,20,45.694,0.582000
baseline,srv3,sybil,20,47.100,0.566500
baseline,srv3,sybil,20,48.447,0.572200
baseline,srv3,sybil,20,49.836,0.539800
baseline,srv3,sybil,20,51.353,0.546500
baseline,srv3,sybil,20,52.737,0.526000
baseline,srv3,sybil,20,54.179,0.599900
baseline,srv3,sybil,20,56.010,0.527600
baseline,srv3,sybil,20,58.013,0.560500
baseline,srv3,sybil,20,59.610,0.443400
baseline,srv3,sybil,20,61.132,0.579200
baseline,srv3,sybil,20,62.498,0.470500
baseline,srv3,sybil,20,64.046,0.475800
baseline,srv3,sybil,20,65.558,0.529600
baseline,srv3,sybil,20,67.127,0.500700
baseline,srv3,sybil,20,68.560,0.502000
baseline,srv3,sybil,20,70.204,0.447600
baseline,srv3,sybil,20,71.929,0.510200
baseline,srv3,sybil,20,73.319,0.529300
